ProductCat,ProductName,ProductDestription,Price,Quantity,PictureURL,PlatForm,Genre
GAMES,Nike + Kinect Training,"THIS TITLE MAY REQUIRE ACCESS TO A BROADBAND INTERNET CONNECTION.

Get fitter, faster and stronger with Nike+ Kinect Training, a personalized training experience built from the ground up with athletic expertise and inspiration from Nike coupled with powerful and precise technology from Kinect for Xbox 360. Nike+ Kinect Training brings world-class Nike training directly into the home to help individuals meet their fitness goals and reach their personal best. Through the magic of Kinect, Nike+ Kinect Training can see how the body moves, assess physical strength and athleticism, identify areas for improvement, and create a personalized workout plan tailored to each person. With real-time feedback to make sure positions and movements are correct and a customized program that evolves over time, Nike+ Kinect Training is for everybody, whether a professional athlete, an everyday athlete or someone just getting started. With fitness assessments every four weeks and the ability to work out with friends over Xbox LIVE and tap into the Nike+ community, Nike+ Kinect Training helps athletes stay motivated every step of the way.1 Take training even further by competing in challenges, sending encouragement to friends and keeping workouts on track with a mobile companion app. ",187,100,themes/images/products/1.jpg,Xbox One,Sports
GAMES,Motorcycle Club,"THIS TITLE MAY REQUIRE ACCESS TO A BROADBAND INTERNET CONNECTION.

BigBen Interactive brings you Motorcycle club. Arcade racing motorcycles in urban universe and set in familiar places for bikers with a wide selection of motorcycles official Honda, Kawasaki, Suzuki, Yamaha, KTM and BMW. Koch Media are happy to announce that as part of a multi-title distribution partnership they are the official UK distributor of Bigben Interactive?s upcoming arcade-style motorbike racing game, Motorcycle Club. Motorcycle Club is due to release on PlayStation®4, PlayStation®3, Xbox 360 and PC In November 2014. Pick from a selection of the world's most prestigious motorbikes, including BMW, Honda, Kawasaki, KTM, Suzuki and Yamaha. 22 official motorbikes spanning across 3 categories (Roadster, Superbike and Custom) are waiting in your garage, each with a role to play in your club. As you rise through the ranks you will be able to use the money you earn to buy more powerful bikes and customise your riders. Switch between bikes mid race to gain an advantage over your rivals, but be sure to select the correct bike for the terrain ahead or you?ll end up at the back of the pack! To win the Motorcycle Championship you have to compete across 20 varied daytime and night-time circuits. Put some distance between you and your rival clubs to claim the final victory! Multiplayer mode allows up to 4 players to compete against each other for the podium win! Published by Bigben Interactive and developed by Kylotonn Games, Motorcycle Club will be released in December 2014 on PlayStation®4, Xbox 360, PlayStation®3 and Windows PC.",385,100,themes/images/products/2.jpg,PS4,Racing
GAMES,Mario Kart,"THIS TITLE MAY REQUIRE ACCESS TO A BROADBAND INTERNET CONNECTION.

It's time to race...with no wires attached! The acclaimed Mario Kart series has gone wireless, letting you race and battle locally with up to eight karts at once, regardless of whether everyone has a Game Card. Plus, play with up to three people around the world with Nintendo Wi-Fi Connection! An all-star cast that includes Mario, Luigi, Peach, Yoshi, Donkey Kong, Wario, Bowser and Toad rounds out a truly all-star lineup of more than 30 courses including new DS-exclusive creations and classics drawn from every Mario Kart game Features: Race up to seven other pals over local wireless with only a single game card via DS Download play Play over 30 courses, including classics from the original Super Mario Kart, Mario Kart 64, Mario Kart: Super Circuit, and Mario Kart: Double Dash Crazy items, frantic speed, and a new mission mode make this game a Mario Kart fan's dream.",419,100,themes/images/products/3.jpg,NDS,Racing
GAMES,The Sims 3: Seasons,"THIS TITLE MAY REQUIRE ACCESS TO A BROADBAND INTERNET CONNECTION.

The Sims 3 Seasons offers players not only the opportunity to interact with weather, but also the ability to really get into the mood of each season and tell meaningful stories with their Sims. Since the launch of The Sims 3, Seasons has been one of the most highly-requested themes by our players. The seasonal changes in this game offer incredible realism, simulating nature in a way that is unprecedented for The Sims.  For the first time in The Sims PC/Mac franchise, players can take their Sims for a swim in the ocean, exploring a previously unreachable part of the world as they cool down on a hot summer day or take the polar bear plunge by venturing into wintry waters. Sims can also build skills by scoring a winning goal during a soccer shoot-out or catching some air on the half pipe during a snowboarding session.Whether taking a plunge from the diving board, setting off dazzling fireworks, carving a jack-o-lantern or building an intimate igloo, players will find an abundance of activities to keep them engaged throughout the year. Players will revel in the spirit of each season with unique seasonal celebrations and events that bring Sims together.  Sims can snuggle up with their crush and get crowned the king or queen of the spring dance, visit the face-painting booth at the summer festival, bob for apples beside a pumpkin patch at the fall festival or head to the snowball fight arena for an epic wintertime battle. The Sims 3 Seasons also introduces new food, fashions and décor items such as French fries, a tanning booth, mistletoe, umbrellas, snow boots and wetsuits, further enhancing the experience and fun of each season. In The Sims 3 Seasons, transformative weather effects will capture the beauty and power of nature, from blooming flowers and fresh spring rain to changing autumn leaves and snowstorms that will turn the world into a winter wonderland. Sims will react to the changes in climate and weather in surprising and hilarious ways, whether getting a zebra-striped tan, catching a cold or getting struck by lightning. Players who pre-order The Sims 3 Seasons Expansion Pack will receive the Limited Edition which includes the exclusive Ice Lounge community lot, a sleek social club that can be placed in any world from The Sims 3 and is available in all seasons. This all-new venue includes 12 brand new objects made entirely of ice that can be used to build out an elegant, icy abode.",225,100,themes/images/products/4.jpg,PC,Role-Playing-Games
GAMES,FIFA 15 ULTIMATE TEAM EDITION,"THIS TITLE MAY REQUIRE ACCESS TO A BROADBAND INTERNET CONNECTION.

FIFA 15 brings soccer to life in stunning detail so fans can experience the emotion of the sport like never before. ? Witness the intensity of crowds and listen to commentators guide fans through the story of the game with Dynamic Match Presentation. New Emotional Intelligence allows players to react to opponents and teammates within context, and relative to the narrative of the match. ? Next Generation Visuals put fans on Living Pitches with grass that wears as the match progresses. Authentic Player Visuals give players true to life appearance. Player Control heightens the responsiveness of player movement and makes Man-to-Man Battles more rewarding than ever before. KEY FEATURES? Emotional Intelligence - For the first time ever, FIFA 15 models the emotions of all 22 players on the pitch, giving fans a chance to experience first-hand the attitudes and personalities of the world?s best soccer players during a match.? Dynamic Match Presentation - Match Day will feel more dynamic and alive than ever before ? immersing you in the match action and never taking you out of the moment. With region specific behaviors, crowds will now be distinguished by cheers and chants designated to their club, league, country, or continent.? Correct Contacts -   Physically Correct Contacts revolutionizes the way the soccer interacts with the players and their environment. Every dribble, touch, pass, shot, and deflection moves corresponding to the spin of the ball in relation to the position of the body part or object that it connects with ? this gives the soccer accurate spin, curl, and movement, as well as varied trajectories.? Man-to-Man Battles - Dispossessing your opponent in FIFA 15 is more rewarding and physical than ever before. Players use Full-Body Defending to win possession and keep it.",793,100,themes/images/products/5.jpg,Xbox One,Sports
GAMES,Pro Cycling Manager 2012,"THIS TITLE MAY REQUIRE ACCESS TO A BROADBAND INTERNET CONNECTION 

Manage your team (trainings, scooting, strategy?) before and during a race

Even more gorgeous graphics quality (new rider design?)

62 official teams, +170 events!

New GUI more intuitive

Improved race editor to create your own routes

Up to 20 simultaneous players Online.

Official teams/racers:

Control one of the 62 official teams, Manage the best riders, Conquer the world?s

most famous races!

Improved graphics:

NEW design for the riders! More beautiful and immersive, More sets and

Environments

Power Stage Editor",116,100,themes/images/products/6.jpg,PC,Sports
GAMES,Rugby 15,"THIS TITLE MAY REQUIRE ACCESS TO A BROADBAND INTERNET CONNECTION.

Rugby 15 will exclusively feature the official licences for the TOP 14 and PRO D2 professional rugby leagues. With this new sport simulation we are pursuing our strategy of moving upmarket with strong licences and quality partnerships, as with HB Studios, declared Alain Falc, CEO of Bigben Interactive. Today it gives us great pleasure to announce the very first rugby game on new generation consoles with the TOP 14 and the PRO D2, thanks to the support of the Ligue Nationale de Rugby (French Rugby Association). We are certain that fans of the sport will enjoy it!",288,100,themes/images/products/7.jpg,PS Vita,Sports
GAMES,Your Shape Fitness Evolved,"The Whole Nine Yards - With 125 different workouts and 215 moves, Your Shape: Fitness Evolved 2013 delivers a massive array of activities.
Your Personal Trainer - Create a personalized fitness program lasting up to four weeks, tailored to your current fitness level and preferences.
Get Connected - With news feeds, online challenges, leaderboards, achievements, and friend competitions, Your Shape: Fitness Evolved 2013 sets a new technological standard in the Nintendo universe and leverages the unique features of the Wii U system.
Join the Calorie-Fighter Community - Connect with the established Your Shape Center website and broader Your Shape community.
Technology - Your Shape: Fitness Evolved 2013 continues in the tradition of the franchise by offering the best-in-class workout technology including progress tracking, motivating online features, HD graphics, and beautifully animated virtual coaches.",282,100,themes/images/products/8.jpg,Wii U,Sports
GAMES,NBA Live 15,"THIS TITLE MAY REQUIRE ACCESS TO A BROADBAND INTERNET CONNECTION.

NBA LIVE 15 delivers a truly next-generation basketball experience, from visuals to gameplay and everything in between. Responding fan feedback, the title includes over 500 gameplay improvements, including improved responsiveness for shooting, dribbling, passing and more. Upgraded visuals and photo-realistic player models help the series look better than ever, and socially connected game modes provide rich, constantly updated content.",620,100,themes/images/products/9.jpg,PS4,Sports
GAMES,Mortal Kombat X,"THIS TITLE MAY REQUIRE ACCESS TO A BROADBAND INTERNET CONNECTION.

Mortal Kombat X is NetherRealm Studios' next highly anticipated installment in its legendary, critically acclaimed fighting game franchise that propels the iconic franchise into a new generation. The game combines cinematic presentation with all new gameplay to deliver the most brutal Kombat experience ever, offering a new fully-connected experience that launches players into a persistent online contest where every fight matters in a global battle for supremacy. For the first time, Mortal Kombat X gives players the ability to choose from multiple variations of each character impacting both strategy and fighting style. Players step into an original story showcasing some of the game's most prolific characters including Scorpion and Sub-Zero, while introducing new challengers that represent the forces of good and evil and tie the tale together. 
Features: 
- New and Classic Characters: Such as Scorpion, Sub-Zero, Raiden and Kano, as well as new characters such as Cassie Cage, Kotal Kahn, Ferra-Torr and D'Vorah, the roster will include fan favorites where both good and evil must battle it out. 
- Character Variations: Mortal Kombat X offers three different versions for each playable character, all of which have their own fighting style, special moves, abilities and strategies. The Variation that players choose affects the style and overall strategy by which the game is played. 
- Epic Cinematic Storyline: A deep story mode continues up to 25 years after the events of 2011's Mortal Kombat and advances the dark tale, introducing new characters such as Cassie Cage, daughter of fan favorites Sonya Blade and Johnny Cage. 
- Visceral Kombat: Mortal Kombat X introduces the next evolution of fighting with the return of X-ray and Finishing Moves that showcase brutal battles like never before with enhanced graphics and animations.",565,100,themes/images/products/10.jpg,Xbox One,Fighting
